are , a , 79 , 1441355372539 , -364.965 , 238.4838
are , a , 79 , 1441355372572 , -389.3537 , 245.8439
are , a , 79 , 1441355372605 , -384.8656 , 262.974
are , a , 79 , 1441355372639 , -379.025 , 270.9447
are , a , 79 , 1441355372672 , -376.5703 , 270.3466
are , a , 79 , 1441355372705 , -384.5477 , 264.409
are , a , 79 , 1441355372739 , -385.5102 , 263.0964
are , a , 79 , 1441355372772 , -380.7684 , 271.0732
are , a , 79 , 1441355372805 , -381.8242 , 274.0754
are , a , 79 , 1441355372839 , -382.505 , 275.8203
are , a , 79 , 1441355372872 , -380.5513 , 281.0219
are , a , 79 , 1441355372905 , -381.7797 , 281.4551
appearing , a , 115 , 1441355372938 , -274.313 , 385.0449
appearing , a , 115 , 1441355373571 , -140.9592 , 446.9181
appearing , a , 115 , 1441355373604 , -132.834 , 441.3376
appearing , a , 115 , 1441355373638 , -128.2043 , 462.9267
appearing , a , 115 , 1441355373671 , -122.5649 , 461.0238
appearing , a , 115 , 1441355373704 , -116.6275 , 461.549
appearing , a , 115 , 1441355373738 , -113.3312 , 487.474
appearing , a , 115 , 1441355374437 , -229.711 , 468.8818
appearing , a , 115 , 1441355374470 , -248.0832 , 408.0269
appearing , a , 115 , 1441355374504 , -225.0509 , 444.9443
appearing , a , 115 , 1441355374537 , -216.1007 , 469.2646
appearing , a , 115 , 1441355374770 , -52.5538 , 472.3698
appearing , a , 115 , 1441355375036 , -340.4213 , 402.9865
appearing , a , 115 , 1441355375070 , -430.213 , 375.4564
appearing , a , 115 , 1441355375103 , -401.4829 , 392.851
appearing , a , 115 , 1441355375137 , -383.1309 , 416.2002
appearing , a , 115 , 1441355375171 , -386.6073 , 402.5215
appearing , a , 115 , 1441355375204 , -392.4934 , 407.8791
appearing , a , 115 , 1441355375237 , -391.4015 , 414.2
appearing , a , 115 , 1441355375271 , -391.2079 , 414.3193
appearing , a , 115 , 1441355375304 , -397.326 , 413.8377
appearing , a , 115 , 1441355375337 , -397.7722 , 414.0106
are , a , 79 , 1441355375371 , -314.1566 , 274.1845
are , a , 79 , 1441355375404 , -368.0997 , 259.2684
are , a , 79 , 1441355375437 , -370.0891 , 244.8493
are , a , 79 , 1441355375470 , -354.5775 , 250.4133
are , a , 79 , 1441355375504 , -353.8512 , 246.4729
are , a , 79 , 1441355375537 , -358.471 , 257.5759
are , a , 79 , 1441355375570 , -356.5979 , 257.4723
are , a , 79 , 1441355375604 , -358.114 , 263.3822
move , m , 38 , 1441355375637 , -464.3456 , 170.0336
move , m , 38 , 1441355375670 , -481.2552 , 190.2183
move , m , 38 , 1441355375704 , -509.9819 , 159.655
move , m , 38 , 1441355375737 , -518.9966 , 165.3532
