No , N , 223 , 1418702828975 , -1.4438 , 533.1116
No , N , 223 , 1418702829022 , -11.8403 , 537.6763
No , N , 223 , 1418702829065 , -3.478 , 543.6562
No , N , 223 , 1418702829090 , -2.2491 , 547.0283
and , a , 232 , 1418702829125 , 225.4398 , 567.7219
by , y , 237 , 1418702829170 , 327.4282 , 559.7988
by , y , 237 , 1418702829206 , 336.141 , 563.5521
by , y , 237 , 1418702829241 , 339.2907 , 540.9294
by , y , 237 , 1418702829275 , 332.0091 , 539.8198
by , y , 237 , 1418702829310 , 328.1898 , 547.6064
by , y , 237 , 1418702829356 , 328.5809 , 552.1575
by , y , 237 , 1418702829390 , 336.1989 , 555.4192
by , y , 237 , 1418702829425 , 337.4136 , 552.7234
sleep , e , 244 , 1418702829459 , 503.498 , 518.2263
sleep , e , 243 , 1418702829494 , 481.3649 , 537.4381
sleep , e , 243 , 1418702829540 , 478.3156 , 542.2514
to , t , 248 , 1418702829610 , 601.8887 , 547.8859
to , o , 249 , 1418702829644 , 624.673 , 550.4534
say , y , 253 , 1418702829688 , 720.6273 , 533.172
say , y , 253 , 1418702829758 , 725.5951 , 571.0126
say , y , 253 , 1418702829793 , 729.3719 , 563.2353
say , y , 253 , 1418702829828 , 726.3248 , 572.0256
we , w , 255 , 1418702829863 , 762.8687 , 571.8107
we , e , 256 , 1418702829909 , 783.8952 , 572.014
we , e , 256 , 1418702829944 , 798.3918 , 568.6198
and , n , 280 , 1418702830165 , 400.9377 , 591.0402
The , T , 263 , 1418702830199 , 2.7283 , 645.8541
The , h , 264 , 1418702830234 , 16.9229 , 657.642
The , T , 263 , 1418702830280 , 7.4289 , 644.7689
The , h , 264 , 1418702830315 , 16.1955 , 644.4474
The , h , 264 , 1418702830350 , 23.9107 , 640.5732
The , e , 265 , 1418702830384 , 40.9871 , 623.2742
The , h , 264 , 1418702830419 , 29.3348 , 661.4977
The , h , 264 , 1418702830465 , 35.455 , 658.8376
Heart , a , 269 , 1418702830534 , 155.1766 , 655.6373
and , d , 281 , 1418702830719 , 432.789 , 616.5729
and , d , 281 , 1418702830753 , 436.8155 , 616.899
and , d , 281 , 1418702830799 , 439.969 , 619.9836
and , d , 281 , 1418702830833 , 441.9003 , 622.3629
thousand , d , 294 , 1418702830868 , 735.2998 , 636.6891
Natural , a , 301 , 1418702830904 , 917.1611 , 646.5041
Natural , a , 301 , 1418702830938 , 908.4296 , 648.5827
Natural , r , 300 , 1418702830983 , 895.5506 , 640.7022
Natural , a , 301 , 1418702831018 , 902.2325 , 638.6425
Natural , a , 301 , 1418702831054 , 900.0535 , 633.3215
Natural , r , 300 , 1418702831088 , 893.998 , 638.7269
Natural , r , 300 , 1418702831123 , 894.3129 , 643.3527
Natural , r , 300 , 1418702831158 , 895.505 , 641.0687
Natural , r , 300 , 1418702831203 , 893.7105 , 639.3018
Natural , r , 300 , 1418702831238 , 892.6115 , 638.1987
Natural , a , 301 , 1418702831273 , 913.7505 , 655.8
Natural , a , 301 , 1418702831307 , 911.5583 , 618.9587
Natural , a , 301 , 1418702831352 , 919.8234 , 641.1761
Natural , a , 301 , 1418702831386 , 922.558 , 652.2368
Natural , N , 296 , 1418702831421 , 801.0269 , 653.3184
thousand , a , 292 , 1418702831456 , 697.2821 , 655.493
ache , e , 276 , 1418702831501 , 320.2854 , 659.8351
is , s , 324 , 1418702831536 , 283.1296 , 682.55
is , s , 324 , 1418702831570 , 286.1486 , 678.7868
is , i , 323 , 1418702831606 , 272.0237 , 670.9695
Flesh , h , 321 , 1418702831641 , 206.617 , 670.2386
Heart , r , 270 , 1418702831686 , 170.5802 , 666.3932
That , T , 312 , 1418702831722 , -2.6284 , 688.3231
The , T , 263 , 1418702831756 , 9.555 , 641.0387
That , h , 313 , 1418702831791 , 21.5927 , 675.5308
That , h , 313 , 1418702831825 , 25.3725 , 682.0521
That , h , 313 , 1418702831870 , 16.7786 , 688.3762
That , h , 313 , 1418702831905 , 19.3442 , 693.454
That , h , 313 , 1418702831941 , 22.274 , 690.3672
That , h , 313 , 1418702831975 , 18.5175 , 694.045
That , h , 313 , 1418702832010 , 20.3143 , 693.2469
That , h , 313 , 1418702832054 , 16.2781 , 698.6863
ache , c , 274 , 1418702832089 , 267.093 , 630.6745
is , i , 323 , 1418702832124 , 268.3618 , 695.7524
is , i , 323 , 1418702832159 , 260.0893 , 692.5338
is , i , 323 , 1418702832309 , 252.0731 , 668.9629
ache , a , 273 , 1418702832391 , 243.9108 , 665.4379
consummation , o , 343 , 1418702832426 , 744.93 , 694.5906
consummation , o , 343 , 1418702832461 , 734.3903 , 708.5664
consummation , c , 342 , 1418702832496 , 727.7997 , 706.4841
consummation , c , 342 , 1418702832531 , 716.3773 , 699.365
a , a , 340 , 1418702832714 , 677.6857 , 687.0571
a , a , 340 , 1418702832760 , 672.3384 , 689.7301
a , a , 340 , 1418702832796 , 665.2829 , 685.4925
consummation , m , 347 , 1418702832831 , 837.4435 , 684.5596
consummation , m , 348 , 1418702832866 , 852.0175 , 686.7219
consummation , m , 347 , 1418702832900 , 840.9273 , 677.9495
consummation , m , 348 , 1418702832935 , 855.7831 , 670.83
consummation , m , 348 , 1418702832981 , 853.5176 , 676.5792
consummation , m , 347 , 1418702833015 , 846.6851 , 681.0928
consummation , m , 347 , 1418702833050 , 846.4028 , 679.5829
consummation , m , 347 , 1418702833085 , 845.8185 , 677.5768
consummation , u , 346 , 1418702833120 , 825.6024 , 680.1953
That , a , 314 , 1418702833166 , 37.8922 , 701.5779
That , a , 314 , 1418702833200 , 47.5509 , 718.9043
That , a , 314 , 1418702833235 , 52.2056 , 712.5075
That , a , 314 , 1418702833269 , 54.3535 , 717.5989
That , a , 314 , 1418702833315 , 48.8163 , 713.353
That , a , 314 , 1418702833350 , 39.7611 , 710.0132
That , a , 314 , 1418702833385 , 37.0842 , 714.2917
That , a , 314 , 1418702833421 , 36.0592 , 714.5942
That , h , 313 , 1418702833575 , 34.9486 , 712.4603
to , o , 332 , 1418702833615 , 477.1075 , 729.1849
to , o , 332 , 1418702833644 , 478.2818 , 730.6199
to , t , 331 , 1418702833792 , 467.4101 , 718.9619
to , t , 331 , 1418702833829 , 453.8279 , 729.4184
heir , r , 329 , 1418702833983 , 418.3778 , 749.4995
heir , r , 329 , 1418702834018 , 415.1169 , 750.255
die , i , 383 , 1418702834052 , 642.0359 , 792.3219
die , d , 382 , 1418702834157 , 616.5894 , 775.6972
die , d , 382 , 1418702834203 , 618.245 , 787.567
die , d , 382 , 1418702834237 , 621.2064 , 784.235
die , i , 383 , 1418702834271 , 647.5247 , 785.1522
die , e , 384 , 1418702834306 , 664.2076 , 790.6837
to , t , 387 , 1418702834536 , 737.3369 , 793.1222
thousand , a , 292 , 1418702835017 , 686.1349 , 637.3761
thousand , s , 291 , 1418702835052 , 672.2475 , 620.5118
thousand , a , 292 , 1418702835087 , 685.4039 , 639.6182

NEXT TEST :2

usances , c , 99 , 1418702849742 , 643.6838 , 210.8548
rated , d , 66 , 1418702849776 , 647.4643 , 202.9232
usances , c , 99 , 1418702849820 , 639.9299 , 212.5663
usances , c , 99 , 1418702849853 , 642.4928 , 220.4086
usances , c , 99 , 1418702849888 , 636.6658 , 220.5183
usances , n , 98 , 1418702849933 , 633.2565 , 224.6977
usances , a , 97 , 1418702849967 , 607.6434 , 225.2249
Rialto , a , 48 , 1418702850003 , 212.811 , 166.2457
Rialto , t , 50 , 1418702850037 , 253.3175 , 188.2059
Rialto , l , 49 , 1418702850072 , 245.0055 , 180.5472
Rialto , i , 47 , 1418702850118 , 181.5826 , 153.6216
the , e , 44 , 1418702850187 , 112.6662 , 116.4602
Signior , i , 2 , 1418702850221 , 21.5175 , 68.0375
Signior , i , 2 , 1418702850256 , 17.6485 , 59.5809
Signior , i , 2 , 1418702850301 , 29.2236 , 49.9635
Signior , i , 2 , 1418702850336 , 32.9688 , 43.862
Signior , i , 2 , 1418702850371 , 34.9651 , 38.613
Signior , g , 3 , 1418702850405 , 36.6157 , 37.6478
Signior , g , 3 , 1418702850450 , 38.1279 , 35.9046
Signior , g , 3 , 1418702850486 , 39.1308 , 33.935
Signior , g , 3 , 1418702850521 , 40.7202 , 31.7041
Antonio , t , 11 , 1418702850555 , 246.5029 , 40.2249
Signior , n , 4 , 1418702851296 , 71.2462 , 85.8625
