Whether , e , 46 , 1418325038546 , 51.2517 , 151.0919
Whether , t , 47 , 1418325038580 , 60.8338 , 156.3998
Whether , t , 47 , 1418325038615 , 66.5391 , 154.5084
Whether , t , 47 , 1418325038651 , 73.5726 , 148.5501
Whether , e , 49 , 1418325038697 , 116.5501 , 136.1182
the , e , 31 , 1418325039398 , 727.2336 , 61.2681
the , e , 31 , 1418325039433 , 718.903 , 63.5648
the , e , 31 , 1418325039469 , 711.6418 , 64.9511
the , h , 30 , 1418325039503 , 705.0939 , 65.2829
the , h , 30 , 1418325039549 , 698.9775 , 66.4202
Whether , t , 47 , 1418325039619 , 67.2596 , 189.7257
Whether , e , 46 , 1418325039654 , 59.6786 , 186.2023
Whether , e , 46 , 1418325039689 , 54.9882 , 188.6919
Whether , e , 46 , 1418325039724 , 54.1523 , 183.9488
Whether , e , 46 , 1418325039769 , 55.1597 , 180.4312
Whether , e , 46 , 1418325039804 , 53.9754 , 182.0314
Whether , e , 46 , 1418325039839 , 53.7204 , 181.4471
Whether , e , 46 , 1418325039874 , 54.398 , 183.2169
Nobler , N , 57 , 1418325039909 , 304.7299 , 162.6256
Nobler , N , 57 , 1418325039954 , 310.9937 , 174.5078
Nobler , N , 57 , 1418325039989 , 312.6164 , 170.9477
Nobler , N , 57 , 1418325040024 , 310.8293 , 167.2705
Nobler , N , 57 , 1418325040059 , 311.0398 , 166.658
Nobler , N , 57 , 1418325040094 , 312.7829 , 167.5004
Nobler , N , 57 , 1418325040139 , 312.9555 , 167.3153
the , t , 67 , 1418325040174 , 544.5168 , 134.6631
the , h , 68 , 1418325040209 , 567.2445 , 145.4336
the , t , 67 , 1418325040245 , 561.5247 , 142.2376
the , t , 67 , 1418325040279 , 563.4158 , 141.634
the , t , 67 , 1418325040326 , 561.5778 , 141.1248
the , t , 67 , 1418325040361 , 560.9114 , 142.5967
the , t , 67 , 1418325040397 , 562.0586 , 142.2214
the , t , 67 , 1418325040432 , 562.9478 , 141.4192
the , h , 68 , 1418325040467 , 578.8509 , 140.5593
to , o , 77 , 1418325040501 , 794.7329 , 155.4825
to , o , 77 , 1418325040616 , 803.0063 , 153.3606
mind , m , 71 , 1418325040765 , 639.6635 , 151.0098
Whether , r , 50 , 1418325040836 , 132.1835 , 163.9592
Whether , e , 49 , 1418325040880 , 111.6786 , 168.8534
Whether , h , 48 , 1418325040914 , 102.661 , 168.1255
Whether , t , 47 , 1418325040950 , 82.8763 , 183.6212
The , T , 87 , 1418325040985 , 11.2775 , 234.8782
The , h , 88 , 1418325041020 , 15.7083 , 228.612
The , h , 88 , 1418325041066 , 20.6297 , 231.6419
The , h , 88 , 1418325041100 , 23.5341 , 235.1208
The , h , 88 , 1418325041136 , 21.3577 , 236.8231
The , h , 88 , 1418325041172 , 22.644 , 237.8702
Slings , s , 96 , 1418325041206 , 205.31 , 242.0944
and , n , 99 , 1418325041241 , 292.4148 , 234.4879
and , d , 100 , 1418325041287 , 300.4127 , 234.9229
and , d , 100 , 1418325041322 , 303.0288 , 236.3502
and , d , 100 , 1418325041358 , 303.2469 , 239.5894
and , d , 100 , 1418325041392 , 303.5349 , 238.9408
and , d , 100 , 1418325041426 , 303.2756 , 238.932
and , d , 100 , 1418325041472 , 303.3386 , 238.3482
and , d , 100 , 1418325041507 , 309.8858 , 237.0023
mind , m , 71 , 1418325041541 , 638.7457 , 192.2899
suffer , f , 81 , 1418325041910 , 877.5151 , 184.8902
suffer , u , 80 , 1418325041944 , 852.7015 , 181.46
suffer , s , 79 , 1418325041989 , 851.3585 , 187.0664
suffer , s , 79 , 1418325042024 , 851.7701 , 187.8029
suffer , s , 79 , 1418325042059 , 850.8143 , 187.591
suffer , u , 80 , 1418325042095 , 853.2053 , 189.2409
suffer , u , 80 , 1418325042140 , 852.6993 , 190.8014
suffer , s , 79 , 1418325042175 , 851.3062 , 193.2353
Arrows , A , 102 , 1418325042210 , 355.8604 , 291.5289
take , t , 139 , 1418325042245 , 139.3832 , 356.1349
take , t , 139 , 1418325042280 , 132.8767 , 355.7802
take , t , 139 , 1418325042465 , 132.7045 , 363.0016
take , t , 139 , 1418325042580 , 133.1472 , 355.7039
take , a , 140 , 1418325042615 , 168.8867 , 346.5216
take , k , 141 , 1418325042651 , 193.8215 , 339.3783
take , e , 142 , 1418325042686 , 209.1705 , 335.5238
take , e , 142 , 1418325042731 , 220.8397 , 332.1513
Arrows , s , 107 , 1418325042836 , 481.9651 , 276.3316
Arrows , s , 107 , 1418325042916 , 491.8571 , 286.1104
outrageous , r , 115 , 1418325043101 , 681.9525 , 272.6925
outrageous , g , 117 , 1418325043136 , 718.238 , 272.3347
outrageous , g , 117 , 1418325043171 , 711.4879 , 278.0132
outrageous , g , 117 , 1418325043205 , 712.2114 , 288.8254
outrageous , g , 117 , 1418325043240 , 709.248 , 289.8212
outrageous , g , 117 , 1418325043286 , 710.365 , 291.6513
outrageous , g , 117 , 1418325043321 , 708.7468 , 291.926
outrageous , g , 117 , 1418325043356 , 708.3785 , 290.7181
outrageous , g , 117 , 1418325043391 , 725.7809 , 293.684
outrageous , e , 118 , 1418325043426 , 740.9797 , 292.5751
outrageous , e , 118 , 1418325043472 , 754.939 , 293.016
outrageous , o , 119 , 1418325043507 , 766.2604 , 289.4676
outrageous , o , 119 , 1418325043541 , 776.1585 , 286.4309
outrageous , u , 120 , 1418325043576 , 783.0332 , 284.0758
outrageous , u , 120 , 1418325043611 , 784.9804 , 285.7565
of , o , 109 , 1418325043658 , 523.0011 , 287.1909
of , o , 109 , 1418325043693 , 519.2256 , 285.9064
of , o , 109 , 1418325043797 , 518.3289 , 281.3524
of , o , 109 , 1418325043842 , 517.157 , 279.0178
of , o , 109 , 1418325043877 , 519.5492 , 284.1994
of , o , 109 , 1418325043912 , 519.1557 , 285.1714
of , o , 109 , 1418325043947 , 520.202 , 285.66
of , o , 109 , 1418325043982 , 519.5668 , 284.882
of , o , 109 , 1418325044027 , 520.1582 , 285.1
of , o , 109 , 1418325044062 , 517.7141 , 285.6956
Arrows , s , 107 , 1418325044166 , 485.914 , 288.5639
Arrows , s , 107 , 1418325044212 , 478.2458 , 289.8631
Arrows , s , 107 , 1418325044246 , 471.8535 , 289.6093
Arrows , s , 107 , 1418325044282 , 472.6582 , 289.0594
Arrows , s , 107 , 1418325044317 , 472.7627 , 287.7394
Arrows , s , 107 , 1418325044351 , 474.5421 , 286.9954
Arrows , s , 107 , 1418325044397 , 476.3307 , 286.6012
Arrows , s , 107 , 1418325044432 , 476.8063 , 285.3856
Arrows , s , 107 , 1418325044467 , 477.2791 , 285.4765
